frame,kind,death_cause,gender,number of agents
215,grass,alive,---,745
215,rabbit,alive,female,15
215,rabbit,alive,male,20
216,grass,alive,---,745
216,rabbit,alive,female,15
216,rabbit,alive,male,20
217,grass,alive,---,745
217,rabbit,alive,female,15
217,rabbit,alive,male,20
218,grass,alive,---,744
218,grass,eaten,---,1
218,rabbit,alive,female,15
218,rabbit,alive,male,20
219,grass,alive,---,744
219,grass,eaten,---,1
219,rabbit,alive,female,15
219,rabbit,alive,male,20
220,grass,alive,---,743
220,grass,eaten,---,2
220,rabbit,alive,female,15
220,rabbit,alive,male,20
221,grass,alive,---,743
221,rabbit,alive,female,15
221,rabbit,alive,male,20
222,grass,alive,---,742
222,grass,eaten,---,1
222,rabbit,alive,female,15
222,rabbit,alive,male,20
223,grass,alive,---,740
223,grass,eaten,---,3
223,rabbit,alive,female,15
223,rabbit,alive,male,20
224,grass,alive,---,740
224,grass,eaten,---,1
224,rabbit,alive,female,15
224,rabbit,alive,male,20
225,grass,alive,---,739
225,grass,eaten,---,1
225,rabbit,alive,female,15
225,rabbit,alive,male,20
226,grass,alive,---,738
226,grass,eaten,---,2
226,rabbit,alive,female,15
226,rabbit,alive,male,20
227,grass,alive,---,738
227,grass,eaten,---,2
227,rabbit,alive,female,15
227,rabbit,alive,male,20
228,grass,alive,---,737
228,grass,eaten,---,1
228,rabbit,alive,female,15
228,rabbit,alive,male,20
229,grass,alive,---,737
229,grass,eaten,---,1
229,rabbit,alive,female,15
229,rabbit,alive,male,20
230,grass,alive,---,735
230,grass,eaten,---,3
230,rabbit,alive,female,15
230,rabbit,alive,male,20
231,grass,alive,---,735
231,grass,eaten,---,2
231,rabbit,alive,female,15
231,rabbit,alive,male,20
232,grass,alive,---,735
232,grass,eaten,---,1
232,rabbit,alive,female,15
232,rabbit,alive,male,20
233,grass,alive,---,735
233,grass,eaten,---,1
233,rabbit,alive,female,15
233,rabbit,alive,male,20
234,grass,alive,---,733
234,grass,eaten,---,2
234,rabbit,alive,female,15
234,rabbit,alive,male,20
235,grass,alive,---,733
235,grass,eaten,---,1
235,rabbit,alive,female,15
235,rabbit,alive,male,20
